scenario_id,policy_name,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_queuing_delay,mean_prefill_delay_s,request_throughput,token_throughput,hog_n,late_n,hog_mean_ttft,hog_p95_ttft,hog_mean_tpot,hog_p95_tpot,hog_slo_success,hog_ttft_attainment,late_mean_ttft,late_p95_ttft,late_mean_tpot,late_p95_tpot,late_slo_success,late_ttft_attainment,global_tbt_attainment,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturation_fraction,mean_num_decoding,mean_num_prefilling,fraction_prefill_tokens_while_decodes_active,mean_theoretical_chunks,mean_interchunk_extra_wait_s,steps_decode_active_prefill_stalled,mean_num_prefilling_saturated,mean_num_decoding_saturated,n_saturated_steps,status
pd2.hog12.late12.slohog_ttft.s20260823,full_prefill,0.75,0.75,1.0,0.064955392870421,0.09078271691334822,0.09164368512867116,0.001,0.0010000000000000002,0.0005803928704209914,0.064375,95.23809523809524,8849.20634920635,12.0,12.0,0.05051096431110217,0.08709174522633242,0.0010000000000000002,0.001,0.5,0.5,0.07939982142973981,0.08970403608217455,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,120,1374,0.48616600790513836,8.814229249011857,6.011857707509882,0.9265540325151419,1.0,0.063375,114,12.325203252032521,5.764227642276423,123,success
pd2.hog12.late12.slohog_ttft.s20260822,full_prefill,0.75,0.75,1.0,0.0629535461140752,0.09240400495852844,0.09404714828163158,0.001,0.0010000000000000002,0.00045354611407520527,0.0625,94.48818897637796,8870.07874015748,12.0,12.0,0.052540308952724574,0.09059627635261369,0.0010000000000000002,0.001,0.5,0.5,0.07336678327542584,0.09156648452051647,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,122,1327,0.49019607843137253,8.83529411764706,5.788235294117647,0.9194727984775326,1.0,0.0615,115,11.776,6.368,125,success
pd2.hog12.late12.slohog_ttft.s20260821,chunked_prefill_small,0.5,0.5,1.0,0.06947791529762364,0.14411221617915984,0.14931195879520756,0.001,0.0010000000000000002,0.0005195819642903011,0.06895833333333333,81.08108108108108,6658.783783783784,12.0,12.0,0.09887762895667541,0.14767386998758392,0.001,0.0010000000000000002,0.0,0.0,0.04007820163857184,0.057834636635278644,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,72,612,0.25252525252525254,6.636363636363637,5.491582491582491,0.9504134825113374,41.958333333333336,0.027,72,16.333333333333332,4.293333333333333,75,success
pd2.hog12.late12.slohog_ttft.s20260823,chunked_prefill_small,0.5,0.5,1.0,0.078705392870421,0.13804350030062595,0.14041816457221082,0.001,0.0010000000000000002,0.0005803928704209914,0.078125,81.63265306122449,7585.034013605443,12.0,12.0,0.10017763097776884,0.1397373818682459,0.0010000000000000002,0.001,0.0,0.0,0.05723315476307314,0.06291268397610526,0.0010000000000000002,0.001,1.0,1.0,1.0,0,0,0,77,850,0.2711864406779661,7.559322033898305,6.274576271186441,0.5062798852406758,41.541666666666664,0.036583333333333336,29,18.8,2.1875,80,success
pd2.hog12.late12.slohog_ttft.s20260822,chunked_prefill_small,0.5,0.5,1.0,0.07666187944740853,0.13922105586187622,0.15250239874700805,0.001,0.0010000000000000002,0.00045354611407520527,0.07620833333333334,76.6773162939297,7198.083067092652,12.0,12.0,0.10212364228605791,0.1470128375273468,0.0010000000000000002,0.0010000000000000002,0.0,0.0,0.05120011660875917,0.06309942606494952,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,70,794,0.2356687898089172,7.17515923566879,5.748407643312102,0.8485396580739529,41.916666666666664,0.03429166666666667,58,18.89189189189189,2.324324324324324,74,success
pd2.hog12.late12.slohog_ttft.s20260820,full_prefill,0.7916666666666666,0.7916666666666666,1.0,0.05634081761416123,0.07758477348557853,0.08391622200144969,0.001,0.0010000000000000002,0.000632484280827894,0.05570833333333333,97.5609756097561,8186.991869918699,12.0,12.0,0.04731882331718267,0.08132174521362576,0.0010000000000000002,0.0010000000000000002,0.5833333333333334,0.5,0.06536281191113978,0.07673689176347682,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,114,1172,0.47368421052631576,8.153846153846153,5.315789473684211,0.9135543999459715,1.0,0.05470833333333333,107,11.205128205128204,7.2905982905982905,117,success
pd2.hog12.late12.slohog_ttft.s20260821,full_prefill,0.75,0.75,1.0,0.05818624863095697,0.09174809781195313,0.09312882407001642,0.001,0.0010000000000000002,0.000519581964290301,0.057666666666666665,94.11764705882352,7729.411764705882,12.0,12.0,0.04962762895667542,0.08786870981702236,0.0010000000000000002,0.0010000000000000002,0.5,0.5,0.06674486830523851,0.09128463663527865,0.0010000000000000002,0.0010000000000000002,1.0,1.0,1.0,0,0,0,122,1210,0.4921875,7.69921875,5.3125,0.9196572881196353,1.0,0.056666666666666664,115,10.785714285714286,6.658730158730159,126,success
pd2.hog12.late12.slolate_ttft.s20260820,full_prefill,1.0,1.0,1.0,0.05634081761416123,0.07758477348557853,0.08391622200144969,0.001,0.0010000000000000002,0.000632484280827894,0.05570833333333333,97.5609756097561,8186.991869918699,12.0,12.0,0.04731882331718267,0.08132174521362576,0.0010000000000000002,0.0010000000000000002,1.0,1.0,0.06536281191113978,0.07673689176347682,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,114,1172,0.47368421052631576,8.153846153846153,5.315789473684211,0.9135543999459715,1.0,0.05470833333333333,107,11.205128205128204,7.2905982905982905,117,success
pd2.hog12.late12.slohog_ttft.s20260820,chunked_prefill_small,0.5,0.5,1.0,0.0691324842808279,0.11754739105938404,0.13084622200144969,0.001,0.0010000000000000002,0.000632484280827894,0.06849999999999999,81.63265306122449,6850.340136054422,12.0,12.0,0.09398548998384933,0.12537174521362576,0.0010000000000000002,0.0010000000000000002,0.0,0.0,0.04427947857780645,0.05869988185429002,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,67,672,0.2440677966101695,6.827118644067797,5.491525423728813,0.9431687715269805,39.083333333333336,0.029416666666666664,67,17.52777777777778,3.7222222222222223,72,success
pd2.hog12.late12.slolate_ttft.s20260821,full_prefill,0.8333333333333334,0.8333333333333334,1.0,0.05818624863095697,0.09174809781195313,0.09312882407001642,0.001,0.0010000000000000002,0.000519581964290301,0.057666666666666665,94.11764705882352,7729.411764705882,12.0,12.0,0.04962762895667542,0.08786870981702236,0.0010000000000000002,0.0010000000000000002,1.0,1.0,0.06674486830523851,0.09128463663527865,0.0010000000000000002,0.0010000000000000002,0.6666666666666666,0.6666666666666666,1.0,0,0,0,122,1210,0.4921875,7.69921875,5.3125,0.9196572881196353,1.0,0.056666666666666664,115,10.785714285714286,6.658730158730159,126,success
pd2.hog12.late12.slolate_ttft.s20260820,chunked_prefill_small,1.0,1.0,1.0,0.0691324842808279,0.11754739105938404,0.13084622200144969,0.001,0.0010000000000000002,0.000632484280827894,0.06849999999999999,81.63265306122449,6850.340136054422,12.0,12.0,0.09398548998384933,0.12537174521362576,0.0010000000000000002,0.0010000000000000002,1.0,1.0,0.04427947857780645,0.05869988185429002,0.001,0.0010000000000000002,1.0,1.0,1.0,0,0,0,67,672,0.2440677966101695,6.827118644067797,5.491525423728813,0.9431687715269805,39.083333333333336,0.029416666666666664,67,17.52777777777778,3.7222222222222223,72,success
pd2.hog12.late12.slolate_ttft.s20260822,full_prefill,0.7916666666666666,0.7916666666666666,1.0,0.0629535461140752,0.09240400495852844,0.09404714828163158,0.001,0.0010000000000000002,0.00045354611407520527,0.0625,94.48818897637796,8870.07874015748,12.0,12.0,0.052540308952724574,0.09059627635261369,0.0010000000000000002,0.001,1.0,1.0,0.07336678327542584,0.09156648452051647,0.0010000000000000002,0.0010000000000000002,0.5833333333333334,0.5833333333333334,1.0,0,0,0,122,1327,0.49019607843137253,8.83529411764706,5.788235294117647,0.9194727984775326,1.0,0.0615,115,11.776,6.368,125,success
