completion_fraction,description,max_kv_cache_usage,max_vllm_running,max_vllm_waiting,mean_latency_s,mean_output_tokens,mean_prompt_tokens,mean_tpot_s,mean_ttft_s,num_requests,num_success,p50_latency_s,p50_ttft_s,p95_latency_s,p95_ttft_s,preemption_events_delta,prefix_cache_hits_delta,prefix_cache_queries_delta,request_throughput,scenario_family,scenario_name
1.0,burst concurrency above max_num_seqs,0.0024697777200052284,2.0,22.0,5.061569316584307,127.25,168.58333333333334,0.0054519257234121295,4.373274386491782,24,24,5.409156685927883,4.721616934984922,8.807028164854273,8.211214286042377,0.0,0.0,0.0,2.6962950246470876,high_concurrency,stress_high_concurrency_queue
1.0,long decode with overlapping sequences,0.004614584687378187,2.0,14.0,6.839302413689438,263.6875,169.375,0.005411486202527886,5.416599293457693,16,16,7.181118214968592,5.994820493040606,11.43485828791745,10.700261058053002,0.0,0.0,0.0,1.3814755912927068,decode_heavy,stress_long_decode_kv
1.0,long prompt prefill contention,0.015988561029507298,2.0,14.0,2.6578097725869156,96.0,1871.375,0.0055946015956578775,2.1263226209994173,16,16,2.9318971049506217,2.398689719848335,4.681025229161605,4.149569682078436,0.0,0.0,0.0,3.4069413749834077,prefill_heavy,stress_long_prefill
1.0,long context plus long decode,0.021448069673729364,2.0,10.0,13.80031460756436,729.3333333333334,1873.1666666666667,0.00544326864981334,9.833988959571192,12,12,14.45302623603493,10.274763032095507,22.935569304972887,18.746075754985213,0.0,0.0,0.0,0.4743501235835485,kv_pressure,stress_kv_pressure
1.0,new long-prefill arrivals while long decodes are active,0.016313531782139568,2.0,13.0,3.4361253766255686,143.9375,1023.5,0.005514976095572066,2.6477520229382208,16,16,3.605293673928827,2.79689383902587,5.760224262019619,5.056955639040098,0.0,0.0,0.0,2.4291290951810214,mixed_prefill_decode,stress_mixed_prefill_decode_contention
1.0,burst above sustainable capacity followed by recovery arrivals,0.017353438190562898,2.0,19.0,9.70450126984118,288.0,980.6666666666666,0.00543997347398599,8.142946923083704,24,24,11.338613391853869,9.262849115999416,15.86024789698422,14.496364585822448,0.0,0.0,0.0,1.2558706788825817,bursty_transient,stress_burst_overload_recovery
1.0,stress burstgpt replay with synthetic prompt text,0.013648771610555,2.0,13.0,8.085881345832604,340.8125,626.75,0.0054263350671368915,6.244030620335252,16,16,8.966819316148758,7.005896492861211,12.817436324898154,11.404946020105854,0.0,0.0,0.0,1.032044045012736,real_trace_stress,stress_burstgpt_replay
1.0,stress azure_llm_2023 replay with synthetic prompt text,0.016378525932666088,2.0,11.0,4.318136174071697,212.5,536.125,0.005480544578231339,3.164420394328772,16,16,4.753969331970438,3.793689965037629,7.366061001084745,5.564386377111077,0.0,0.0,0.0,1.565792306288675,real_trace_stress,stress_azure_2023_replay
