active_sequence_capacity_binding_states,arrival_multiplier,axis,axis_value,canonical_action_collapse_states,completed_window_count,condition_id,disagreement_rate,disagreement_states,invalid_window_count,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,max_active_pressure,max_active_sequences,max_active_sequences_param,max_kv_pressure,max_kv_tokens_param,max_kv_utilization,max_queue_length,mean_active_pressure,mean_active_sequences,mean_completion_fraction,mean_kv_pressure,mean_kv_utilization,mean_queue_length,min_completion_fraction,no_policy_choice_states,policy_ranking_proxy_difference_states,pressure_order,pressure_regime_class,requests,sbs_decision_states,schema_version,source_dataset,token_budget_binding_proxy_states,true_canonical_disagreement_states,unfinished_request_count,windows,windows_with_disagreement
0,1.0,kv_capacity,60000.0,194,20,kv_60000,0.0,0,0,0,0,0.017578125,9,512,0.36206666666666665,60000,0.36206666666666665,4,0.0026553686794943596,1.3595487639011121,1.0,0.046010284156065825,0.046010284156065825,0.04000320025602048,1.0,99992,194,3,VALID_UNCONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,1.0,kv_capacity,32000.0,194,20,kv_32000,0.0,0,0,0,0,0.017578125,9,512,0.678875,32000,0.678875,4,0.0026553686794943596,1.3595487639011121,1.0,0.08626928279262343,0.08626928279262343,0.04000320025602048,1.0,99992,194,4,VALID_UNCONSTRAINED,4000,99992,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,0,0,20,0
0,1.0,kv_capacity,16000.0,192,20,kv_16000,0.005953153873045997,596,0,225,109,0.015625,8,512,1.35775,16000,1.35775,5,0.002651345483943465,1.357488887779054,1.0,0.17240011986215856,0.17240011986215856,0.04924337012435699,1.0,99519,289,5,VALID_STRONGLY_CONSTRAINED,4000,100115,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,596,0,20,13
0,1.0,kv_capacity,8000.0,40393,0,kv_8000,0.9889379578396758,6270372,20,6273379,767,0.01953125,10,512,1.664,8000,1.664,24,3.824797697693451e-05,0.019582964212190468,0.94275,0.004430532649497809,0.004430532649497809,10.419250751240712,0.885,70139,5311924,6,INVALID_HORIZON_TRUNCATED,4000,6340511,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_code,0,6270372,229,20,20
0,1.0,active_sequence_capacity,512.0,22,20,active_512,0.0,0,0,0,0,0.013671875,7,512,0.00172775,8000000,0.00172775,2,0.003328465581945301,1.7041743779559941,1.0,0.00025949180655216077,0.00025949180655216077,0.008658289771312921,1.0,461985,22,0,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,active_sequence_capacity,64.0,22,20,active_64,0.0,0,0,0,0,0.109375,7,64,0.00172775,8000000,0.00172775,2,0.02662772465556241,1.7041743779559941,1.0,0.00025949180655216077,0.00025949180655216077,0.008658289771312921,1.0,461985,22,1,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,active_sequence_capacity,32.0,22,20,active_32,0.0,0,0,0,0,0.21875,7,32,0.00172775,8000000,0.00172775,2,0.05325544931112482,1.7041743779559941,1.0,0.00025949180655216077,0.00025949180655216077,0.008658289771312921,1.0,461985,22,2,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,active_sequence_capacity,16.0,22,20,active_16,0.0,0,0,0,0,0.4375,7,16,0.00172775,8000000,0.00172775,2,0.10651089862224963,1.7041743779559941,1.0,0.00025949180655216077,0.00025949180655216077,0.008658289771312921,1.0,461985,22,3,VALID_UNCONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
0,1.0,active_sequence_capacity,8.0,22,20,active_8,0.0,0,0,0,0,0.875,7,8,0.00172775,8000000,0.00172775,2,0.21302179724449927,1.7041743779559941,1.0,0.00025949180655216077,0.00025949180655216077,0.008658289771312921,1.0,461985,22,4,VALID_PARTIALLY_CONSTRAINED,4000,461985,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,0,0,20,0
25935,1.0,active_sequence_capacity,4.0,799,20,active_4,6.699067100881468e-05,31,0,0,0,1.0,4,4,0.00172775,8000000,0.00172775,3,0.4253405179027166,1.7013620716108664,1.0,0.00025907079347208326,0.00025907079347208326,0.024620152090433084,1.0,462720,818,5,VALID_STRONGLY_CONSTRAINED,4000,462751,industry_realism_action_opportunity_phase_b_v2.0.0,azure_2023_conv,0,31,0,20,11
