P_B_given_D,P_B_given_D_ci95_high,P_B_given_D_ci95_low,P_D,P_D_x_P_B_given_D,P_D_x_mean_oracle_headroom,active_binding_states,all_harmful_states,all_zero_states,axis,beneficial_states,ci_available,condition_id,contributing_windows,disagreement_states_labeled,kv_binding_states,max_active_pressure,max_kv_pressure,mean_oracle_headroom,mean_oracle_headroom_ci95_high,mean_oracle_headroom_ci95_low,mixed_states,phase_b_decision_states,phase_b_disagreement_states,positive_headroom_mean,positive_headroom_median,pressure_regime_class,schema_version,source_dataset
0.0,0.0,0.0,0.0009987316108542152,0.0,0.0,3613,0,100,active_sequence_capacity,0,True,active_4,16,100,0,1.0,0.00270125,0.0,0.0,0.0,0,100127,100,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code
0.0,,,1.000080006400512e-05,0.0,0.0,86,0,1,active_sequence_capacity,0,False,active_8,1,1,0,1.0,0.0027155,0.0,,,0,99992,1,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code
0.0,0.0,0.0,0.005953153873045997,0.0,0.0,0,0,596,kv_capacity,0,True,kv_16000,13,596,225,0.015625,1.35775,0.0,0.0,0.0,0,100115,596,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code
0.0,0.0,0.0,6.699067100881468e-05,0.0,0.0,25935,0,31,active_sequence_capacity,0,True,active_4,11,31,0,1.0,0.00172775,0.0,0.0,0.0,0,462751,31,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_conv
0.0,,,3.896230397090815e-05,0.0,0.0,0,0,18,kv_capacity,0,False,kv_16000,1,18,0,0.013671875,0.7161875,0.0,,,0,461985,18,0.0,0.0,VALID_UNCONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_conv
0.0,0.0,0.0,0.02182671486373401,0.0,0.0,0,0,10120,kv_capacity,0,True,kv_8000,17,10120,6548,0.01171875,1.358625,0.0,0.0,0.0,0,463652,10120,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_conv
0.0,,,3.1768291160926815e-05,0.0,0.0,1473,0,14,active_sequence_capacity,0,False,active_16,1,14,0,1.0,0.003670625,0.0,,,0,440691,14,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,burstgpt
0.0,0.0,0.0,0.0005354963875940411,0.0,0.0,25650,0,244,active_sequence_capacity,0,True,active_4,8,244,0,1.0,0.0015645,0.0,0.0,0.0,0,455652,244,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,burstgpt
0.0,,,0.00017099055277195935,0.0,0.0,5673,0,76,active_sequence_capacity,0,False,active_8,2,76,0,1.0,0.002449625,0.0,,,0,444469,76,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,burstgpt
0.0,,,2.7243997239274946e-05,0.0,0.0,0,0,12,kv_capacity,0,False,kv_16000,4,12,2,0.060546875,1.9009375,0.0,,,0,440464,12,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,burstgpt
0.0,0.0,0.0,0.0002633430951894481,0.0,0.0,0,0,116,kv_capacity,0,True,kv_8000,6,116,388,0.060546875,3.80175,0.0,0.0,0.0,0,440490,116,0.0,0.0,VALID_STRONGLY_CONSTRAINED,industry_realism_causal_headroom_phase_d_v1.results.0.0,burstgpt
