active_pressure,all_alternatives_harmful,all_alternatives_zero,axis,beneficial_opportunity,best_action_id,condition_id,decision_step,kv_pressure,max_advantage,mixed_beneficial_and_harmful,num_non_sbs_branches,oracle_headroom,q_ref_sbs_anwg,queue_pressure_proxy,regime_stage,resource_binding,schema_version,source_dataset,state_id,window_index,worst_action_id
0.75,0,1,active_sequence_capacity,0,728ee6055ac49606c97e6ebb9d51e0c74e3c410de2120cdd67d8cf07aec20bf6,active_4,196660,0.000840875,0.0,0,1,0.0,1.0,0.01,sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::active_sequence_capacity::active_4::step196660,0,728ee6055ac49606c97e6ebb9d51e0c74e3c410de2120cdd67d8cf07aec20bf6
0.75,0,1,active_sequence_capacity,0,728ee6055ac49606c97e6ebb9d51e0c74e3c410de2120cdd67d8cf07aec20bf6,active_4,196671,0.001146375,0.0,0,1,0.0,1.0,0.015,sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::active_sequence_capacity::active_4::step196671,0,728ee6055ac49606c97e6ebb9d51e0c74e3c410de2120cdd67d8cf07aec20bf6
0.75,0,1,active_sequence_capacity,0,728ee6055ac49606c97e6ebb9d51e0c74e3c410de2120cdd67d8cf07aec20bf6,active_4,196674,0.00098625,0.0,0,1,0.0,1.0,0.01,sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::active_sequence_capacity::active_4::step196674,0,728ee6055ac49606c97e6ebb9d51e0c74e3c410de2120cdd67d8cf07aec20bf6
0.75,0,1,active_sequence_capacity,0,78b6ffce86b8ef997f3be28cf6f1bc6e41d607b0adf8a82a1848cc0b33467fee,active_4,198961,0.00041825,0.0,0,1,0.0,1.0,0.01,sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::active_sequence_capacity::active_4::step198961,0,78b6ffce86b8ef997f3be28cf6f1bc6e41d607b0adf8a82a1848cc0b33467fee
0.75,0,1,active_sequence_capacity,0,78b6ffce86b8ef997f3be28cf6f1bc6e41d607b0adf8a82a1848cc0b33467fee,active_4,198967,0.000578625,0.0,0,1,0.0,1.0,0.015,sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::active_sequence_capacity::active_4::step198967,0,78b6ffce86b8ef997f3be28cf6f1bc6e41d607b0adf8a82a1848cc0b33467fee
0.75,0,1,active_sequence_capacity,0,78b6ffce86b8ef997f3be28cf6f1bc6e41d607b0adf8a82a1848cc0b33467fee,active_4,198972,0.000220625,0.0,0,1,0.0,1.0,0.01,sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::active_sequence_capacity::active_4::step198972,0,78b6ffce86b8ef997f3be28cf6f1bc6e41d607b0adf8a82a1848cc0b33467fee
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196358,0.364375,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196358,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196359,0.3644375,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196359,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196360,0.3645,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196360,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196361,0.3645625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196361,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,a8a57f8ce022b27705bc5fb9af86b9fd3af7efb8d61d0c5df142948f82a1232e,kv_16000,196362,0.364625,0.0,0,1,0.0,1.0,0.01,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196362,0,a8a57f8ce022b27705bc5fb9af86b9fd3af7efb8d61d0c5df142948f82a1232e
0.00390625,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196363,0.3675625,0.0,0,1,0.0,1.0,0.01,onset+sustained+high_valid_pressure,1,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196363,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.005859375,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196364,0.3995625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196364,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.005859375,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196365,0.4315625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196365,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.005859375,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196366,0.4635625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196366,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.005859375,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196367,0.4955625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196367,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.005859375,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196368,0.5275625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196368,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.00390625,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196382,0.3699375,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196382,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.00390625,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196383,0.3700625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196383,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.00390625,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196384,0.3701875,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196384,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.00390625,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196385,0.3703125,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196385,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.00390625,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196386,0.3704375,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196386,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.00390625,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196387,0.3705625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196387,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196388,0.36625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196388,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196389,0.3663125,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196389,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196390,0.366375,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196390,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196391,0.3664375,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196391,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196392,0.3665,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196392,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196393,0.3665625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196393,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196394,0.366625,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196394,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196395,0.3666875,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196395,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196396,0.36675,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196396,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196397,0.3668125,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196397,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
0.001953125,0,1,kv_capacity,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3,kv_16000,196398,0.366875,0.0,0,1,0.0,1.0,0.005,onset+sustained+high_valid_pressure,0,industry_realism_causal_headroom_phase_d_v1.results.0.0,azure_2023_code,phase_d_v1::azure_2023_code::w000::kv_capacity::kv_16000::step196398,0,14b1775fb1ee31d44660e72fe4dbaa567181f50c2c66b3e19fca21889195bfd3
