fold,n,SBS,VBS,Majority,A_scen,A_live,A_hgb,A_et
0,50,0.2695002254476523,0.2866786151849459,0.25540832305201006,0.26692709572203066,0.25290329984016496,0.2700147791932909,0.2702248790958222
1,49,0.3414112744801274,0.35717671617990693,0.3145707352587829,0.33192881573723104,0.30266225617614595,0.3444990618270825,0.3433301361308116
2,48,0.30524423990349786,0.3303822197773137,0.2796141208523742,0.2921875435056749,0.270987634482145,0.3041010413295093,0.30041380551815206
3,47,0.3429205763238701,0.359588077093598,0.3074708567493179,0.3272993145224943,0.3096579255337158,0.3445396889407898,0.34044538748835806
4,46,0.31313144236967794,0.3337118450929459,0.2992869440991264,0.3132225184507627,0.2851103976388557,0.31126748024867945,0.31061300354526805
