scenario_id,fold,vbs_policy,a_hgb_policy,a_scen_policy,a_hgb_anwg,a_scen_anwg,sbs_anwg,vbs_anwg,vbs_gain,n_elevated_mechanisms
joint_mm_0011,0,kv_constrained_online,weighted_fair_share,weighted_fair_share,0.2347408227884425,0.2347408227884425,0.3087597091325565,0.3087597091325565,0.0,3
joint_mm_0019,1,kv_constrained_online,estimated_service_time_first,weighted_fair_share,0.1733445383725012,0.1995350579625296,0.2227106093569143,0.2227106093569143,0.0,4
joint_mm_0022,3,kv_constrained_online,least_laxity_first,estimated_service_time_first,0.3671544913750625,0.3784681377007089,0.3803737089108516,0.3803737089108516,0.0,4
joint_mm_0042,2,kv_constrained_online,least_laxity_first,estimated_service_time_first,0.1529463737636363,0.1624137225462905,0.1981065302434692,0.1981065302434692,0.0,4
joint_mm_0050,3,kv_constrained_online,least_laxity_first,estimated_service_time_first,0.0957678493012916,0.0841372300768109,0.121751983255699,0.121751983255699,0.0,3
joint_mm_0051,2,least_laxity_first,estimated_service_time_first,kv_constrained_online,0.2280445146985342,0.2423617461500025,0.2423617461500025,0.2423617461500025,0.0,4
joint_mm_0052,3,kv_constrained_online,weighted_fair_share,weighted_fair_share,0.2169019021820298,0.2169019021820298,0.3455422101828059,0.3455422101828059,0.0,2
joint_mm_0054,0,kv_constrained_online,weighted_fair_share,weighted_fair_share,0.1768520970736403,0.1768520970736403,0.2773854645579975,0.2773854645579975,0.0,1
joint_mm_0055,1,kv_constrained_online,least_laxity_first,full_prefill,0.1096895136746849,0.1040695176160111,0.1258718999760086,0.1258718999760086,0.0,5
joint_mm_0067,4,full_prefill,chunked_prefill_small,full_prefill,0.1046755592889286,0.1228299039111635,0.1228299039111635,0.1228299039111635,0.0,2
joint_mm_0071,2,least_laxity_first,estimated_service_time_first,least_laxity_first,0.223204652009469,0.273204652009469,0.2696139560284071,0.273204652009469,0.0035906959810618755,3
joint_mm_0072,2,least_laxity_first,estimated_service_time_first,weighted_fair_share,0.5774331964846142,0.5774331964846141,0.6128650457684139,0.6312348173828669,0.018369771614452968,4
joint_mm_0080,4,least_laxity_first,estimated_service_time_first,estimated_service_time_first,0.7845174887035722,0.7845174887035722,0.7963025709072628,0.817345343717471,0.021042772810208277,4
joint_mm_0082,2,kv_constrained_online,least_laxity_first,least_laxity_first,0.0,0.0,0.0175311905797344,0.0175311905797344,0.0,3
joint_mm_0103,4,kv_constrained_online,least_laxity_first,least_laxity_first,0.0174420966547995,0.0174420966547995,0.0309301097395042,0.0309301097395042,0.0,2
joint_mm_0111,2,kv_constrained_online,least_laxity_first,full_prefill,0.0408691724509532,0.0321415760021696,0.0789695351089415,0.0789695351089415,0.0,3
joint_mm_0132,4,weighted_fair_share,least_laxity_first,least_laxity_first,0.2468316655766061,0.2468316655766061,0.2629491542765512,0.2790666429764963,0.016117488699945115,3
joint_mm_0147,1,kv_constrained_online,weighted_fair_share,weighted_fair_share,0.5085526678847553,0.5085526678847553,0.5277694713304399,0.5277694713304399,0.0,2
joint_mm_0164,2,kv_constrained_online,least_laxity_first,least_laxity_first,0.2731048939117898,0.2731048939117898,0.3260032914584642,0.3260032914584642,0.0,1
joint_mm_0173,3,kv_constrained_online,least_laxity_first,estimated_service_time_first,0.0846078929358707,0.063455919701903,0.1068554158112052,0.1068554158112052,0.0,3
joint_mm_0175,2,kv_constrained_online,weighted_fair_share,estimated_service_time_first,0.6116600068045147,0.596198811359241,0.6321743725613441,0.6321743725613441,0.0,1
joint_mm_0177,4,kv_constrained_online,least_laxity_first,chunked_prefill_small,0.1296979117199491,0.0943257539781448,0.1767028504220366,0.1767028504220366,0.0,3
joint_mm_0181,2,weighted_fair_share,least_laxity_first,least_laxity_first,0.0446667003577857,0.0446667003577857,0.0595556004770477,0.0744445005963096,0.014888900119261896,3
joint_mm_0187,3,weighted_fair_share,least_laxity_first,full_prefill,0.4246298288750633,0.4064989815702013,0.4427606761799253,0.4427606761799253,0.0,4
joint_mm_0188,3,kv_constrained_online,weighted_fair_share,kv_constrained_online,0.5761908417304102,0.6068793527286735,0.6068793527286735,0.6068793527286735,0.0,1
joint_mm_0192,1,full_prefill,weighted_fair_share,weighted_fair_share,0.5109731524144757,0.5109731524144757,0.5217630351725713,0.5219463048289514,0.00018326965638015835,4
joint_mm_0197,4,full_prefill,least_laxity_first,least_laxity_first,0.0,0.0,0.0122241808599936,0.0244483617199872,0.0122241808599936,4
joint_mm_0206,0,weighted_fair_share,least_laxity_first,full_prefill,0.6614890489998353,0.7137572863565489,0.7137572863565489,0.7497533596314316,0.035996073274882745,1
joint_mm_0223,4,least_laxity_first,weighted_fair_share,weighted_fair_share,0.3325129745104777,0.3325129745104777,0.3913943226582342,0.5,0.1086056773417658,2
joint_mm_0226,3,kv_constrained_online,chunked_prefill_small,full_prefill,0.0641076096687884,0.0641076096687884,0.0854768128917179,0.0854768128917179,0.0,4
joint_mm_0227,3,estimated_service_time_first,least_laxity_first,least_laxity_first,0.1720941096593198,0.1720941096593198,0.1884121473440228,0.1884121473440228,0.0,1
joint_mm_0228,1,least_laxity_first,estimated_service_time_first,estimated_service_time_first,0.2855127746416313,0.2855127746416313,0.3012025406698939,0.3289177133970955,0.027715172727201642,4
joint_mm_0229,4,kv_constrained_online,weighted_fair_share,weighted_fair_share,0.7790615944929495,0.7790615944929495,0.8316788951813309,0.8316788951813309,0.0,2
joint_mm_0235,4,kv_constrained_online,least_laxity_first,least_laxity_first,0.1128666497334536,0.1128666497334536,0.1450919219082742,0.1450919219082742,0.0,3
