active_max,active_mean,active_p95,active_p99,active_util_max,active_util_p95,active_util_p99,anwg,canonical_scenario_id,completion_fraction,error,frac_steps_queue_positive,gpu_max_active_sequences,gpu_max_batch_tokens,gpu_max_kv_tokens,kv_utilization_max,kv_utilization_mean,kv_utilization_p95,kv_utilization_p99,load_factor_lambda,mean_latency,mean_ttft,n_requests_base,n_requests_scaled,n_steps,num_completed,num_dropped,num_total,p95_latency,p95_ttft,p99_latency,p99_ttft,policy_id,queue_length_max,queue_length_mean,queue_length_p95,queue_length_p99,request_throughput,scenario_id,seed,sim_duration,slo_violation_rate,source_dataset,status,token_throughput,weighted_completion_fraction,weighted_goodput,window_index,workload_id
9.0,1.3497474747474747,3.0,5.0,0.017578125,0.005859375,0.009765625,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.03598484848484849,512,512,8000000,0.0021925,0.000422088489057239,0.00103743125,0.001626245,1.0,0.033606,0.008561,200,200,4752,200,0,200,0.089957,0.026238,0.230701,0.042282,full_prefill,3.0,0.04208754208754209,0.0,1.0,1.208854,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,165.446,0.0,azure_2023_code,success,31.484593,1.0,1.0,14,public_replay_load_scaling_v1
9.0,1.4856147593858857,3.0,6.0,0.017578125,0.005859375,0.01171875,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.022061669462004902,512,512,8000000,0.002986875,0.0004354731002451297,0.001248,0.0021795,1.0,0.059111,0.034066,200,200,7751,200,0,200,0.14295,0.104751,0.277651,0.118925,chunked_prefill_small,3.0,0.02580312217778351,0.0,1.0,1.208496,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,165.495,0.0,azure_2023_code,success,31.475271,1.0,1.0,14,public_replay_load_scaling_v1
9.0,1.3497474747474747,3.0,5.0,0.017578125,0.005859375,0.009765625,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.03598484848484849,512,512,8000000,0.0021925,0.000422088489057239,0.00103743125,0.001626245,1.0,0.033606,0.008561,200,200,4752,200,0,200,0.089957,0.026238,0.230701,0.042282,estimated_service_time_first,3.0,0.04208754208754209,0.0,1.0,1.208854,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,165.446,0.0,azure_2023_code,success,31.484593,1.0,1.0,14,public_replay_load_scaling_v1
9.0,1.3497474747474747,3.0,5.0,0.017578125,0.005859375,0.009765625,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.03598484848484849,512,512,8000000,0.0021925,0.000422088489057239,0.00103743125,0.001626245,1.0,0.033606,0.008561,200,200,4752,200,0,200,0.089957,0.026238,0.230701,0.042282,weighted_fair_share,3.0,0.04208754208754209,0.0,1.0,1.208854,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,165.446,0.0,azure_2023_code,success,31.484593,1.0,1.0,14,public_replay_load_scaling_v1
9.0,1.3497474747474747,3.0,5.0,0.017578125,0.005859375,0.009765625,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.03598484848484849,512,512,8000000,0.0021925,0.000422088489057239,0.00103743125,0.001626245,1.0,0.033606,0.008561,200,200,4752,200,0,200,0.089957,0.026238,0.230701,0.042282,least_laxity_first,3.0,0.04208754208754209,0.0,1.0,1.208854,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,165.446,0.0,azure_2023_code,success,31.484593,1.0,1.0,14,public_replay_load_scaling_v1
9.0,1.3497474747474747,3.0,5.0,0.017578125,0.005859375,0.009765625,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.03598484848484849,512,512,8000000,0.0021925,0.000422088489057239,0.00103743125,0.001626245,1.0,0.033606,0.008561,200,200,4752,200,0,200,0.089957,0.026238,0.230701,0.042282,kv_constrained_online,3.0,0.04208754208754209,0.0,1.0,1.208854,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,165.446,0.0,azure_2023_code,success,31.484593,1.0,1.0,14,public_replay_load_scaling_v1
9.0,1.347149168945929,3.0,5.0,0.017578125,0.005859375,0.009765625,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.037450031559015357,512,512,8000000,0.0021925,0.0004220832632021881,0.001037425,0.0016262399999999997,1.0,0.033611,0.008566,200,200,4753,200,0,200,0.089957,0.026238,0.230701,0.042282,official_vtc_joint_token_budget_remap,3.0,0.04460340837365874,0.0,1.0,1.208854,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,165.446,0.0,azure_2023_code,success,31.484593,1.0,1.0,14,public_replay_load_scaling_v1
3.0,0.0006161830714972748,0.0,0.0,0.005859375,0.0,0.0,0.04,PUBLIC_TRACE::azure_2023_code::w14::augmented,0.04,,0.9994840092978519,512,512,8000000,0.0003055,9.236296188682271e-08,0.0,0.0,1.0,0.01691,0.004285,200,200,199616,8,192,200,0.031078,0.006503,0.03243,0.006715,vllm_style_continuous_batching,192.0,107.20859550336647,192.0,192.0,0.04,azure_2023_code::w14::augmented__load_scaling_lambda1,20260820,200.0,0.0,azure_2023_code,success,0.545,0.04,1.0,14,public_replay_load_scaling_v1
9.0,1.5160084131806497,4.0,6.0,0.017578125,0.0078125,0.01171875,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.03879411077354522,512,512,8000000,0.0021865,0.0004686172587053049,0.0011847499999999994,0.0017072775,2.0,0.033933,0.008888,200,200,4279,200,0,200,0.090254,0.026619,0.230956,0.045151,full_prefill,3.0,0.046739892498247254,0.0,1.0,2.417211,azure_2023_code::w14::augmented__load_scaling_lambda2,20260820,82.74,0.0,azure_2023_code,success,62.956248,1.0,1.0,14,public_replay_load_scaling_v1
10.0,1.7914787746851188,4.0,8.0,0.01953125,0.0078125,0.015625,1.0,PUBLIC_TRACE::azure_2023_code::w14::augmented,1.0,,0.02581247084434769,512,512,8000000,0.00310725,0.0005249457510496034,0.0015204375,0.0023781375,2.0,0.059103,0.034058,200,200,6431,200,0,200,0.143002,0.105213,0.277906,0.118801,chunked_prefill_small,3.0,0.03109936246306951,0.0,1.0,2.41578,azure_2023_code::w14::augmented__load_scaling_lambda2,20260820,82.789,0.0,azure_2023_code,success,62.918987,1.0,1.0,14,public_replay_load_scaling_v1
