source,decision_states,disagreement_states,choice_states,binding_capacity_choice_states,policy_ranking_proxy_difference_states,waiting_queue_count_mean,waiting_queue_count_p90,active_sequences_mean,kv_utilization_mean,prompt_token_mass_waiting_mean,predicted_remaining_token_mass_waiting_mean,priority_unique_count_mean,class_unique_count_mean,scenarios,scenarios_with_any,median_disagreements,p90_disagreements,max_disagreements,disagreement_rate,choice_state_rate,binding_capacity_choice_rate,policy_ranking_proxy_difference_rate,unique_action_branch_count
azure_2023_code,189945,0,941,0,472,1.8754489675824721,0.0,62.65390605926775,0.015806120855149215,3861.2005171790947,54.7375608494278,1.6131376016972656,1.6131376016972656,40,0,0.0,0.0,0,0.0,0.004954065650583064,0.0,0.002484929848113928,0
azure_2023_conv,768890,0,89,0,56,0.4606076184217951,0.0,86.62035702066888,0.013198213167603848,546.1814297092544,89.455366654828,0.4552003021000848,0.4552003021000848,40,0,0.0,0.0,0,0.0,0.00011575127781607253,0.0,7.283226469325912e-05,0
burstgpt_v2_lssp_cache,366723,0,3907,0,2680,14.330779282450868,29.900000000000205,170.93762743654622,0.008474137785902055,3344.012961455845,166.76252102220636,4.1566139669673605,4.1566139669673605,80,0,0.0,0.0,0,0.0,0.010653817731639412,0.0,0.007307968139440395,0
