source,decision_states,disagreement_states,choice_states,binding_capacity_choice_states,policy_ranking_proxy_difference_states,waiting_queue_count_mean,waiting_queue_count_p90,active_sequences_mean,kv_utilization_mean,prompt_token_mass_waiting_mean,predicted_remaining_token_mass_waiting_mean,priority_unique_count_mean,class_unique_count_mean,scenarios,scenarios_with_any,median_disagreements,p90_disagreements,max_disagreements,disagreement_rate,choice_state_rate,binding_capacity_choice_rate,policy_ranking_proxy_difference_rate,unique_action_branch_count
azure_llm_2024,291211,0,3379,0,1937,5.118420459451578,0.0,597.2565137742283,0.1915576205602382,8431.010130946896,581.9869191498148,3.5263867630965136,3.5263867630965136,80,0,0.0,0.0,0,0.0,0.011603270480854088,0.0,0.006651534454399044,0
bailian_qwen,503059,0,284,0,157,2.8038320209533887,0.0,265.35143764087167,0.06869380324094898,2659.753271634939,272.1403863005809,2.747305754077365,2.747305754077365,80,0,0.0,0.0,0,0.0,0.0005645461069178764,0.0,0.00031209062952854437,0
fresh_joint_multimechanism_generator_holdout,144310,2862,90485,92861,85636,558.4412543587287,1456.4,654.1064942048484,38.37520803308211,1175142.5254552506,151095.39918634418,75.9293534541875,125.0452297106717,80,78,32.5,58.0,98,0.019832305453537525,0.627018224655256,0.6434827801261174,0.5934169496223408,6996
