concurrency_level,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
1,45,45,0,0,45,9.940924444444445,0.7746,52.96044,53.19622,0.5792844444444444,0.5798,0.72114,0.917988
2,45,45,0,0,45,0.7325377777777777,0.7134,0.9628799999999998,1.0362320000000003,0.5617088888888889,0.5781,0.7399799999999999,0.750284
4,45,45,0,0,45,0.8305444444444444,0.7502,1.23292,1.4107880000000002,0.5569511111111111,0.5692,0.755,0.77458
8,45,45,0,0,45,0.7644155555555555,0.7193,1.05584,1.6851400000000025,0.52548,0.5174,0.7207999999999999,0.739132
