prompt_bucket,max_tokens,concurrency_level,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
long,64,1,5,5,0,0,5,11.04456,0.8063,41.86711999999999,50.052304,0.5887399999999999,0.6033,0.68308,0.686296
long,64,2,5,5,0,0,5,0.7726,0.7517,1.0402,1.0686,0.52782,0.571,0.6702600000000001,0.683652
long,64,4,5,5,0,0,5,0.88554,0.9376,1.0125199999999999,1.0240239999999998,0.56734,0.5884,0.6042,0.60548
long,64,8,5,5,0,0,5,0.93666,0.9212,1.07566,1.077612,0.61706,0.6111,0.74184,0.7448480000000001
long,128,1,5,5,0,0,5,11.05562,0.8289,41.67519999999999,49.745599999999996,0.56228,0.524,0.69062,0.708364
long,128,2,5,5,0,0,5,0.71982,0.7201,0.8509,0.86434,0.5859,0.6312,0.6642,0.6703600000000001
long,128,4,5,5,0,0,5,0.9288399999999999,0.9084,1.09044,1.090808,0.50038,0.4831,0.58848,0.601376
long,128,8,5,5,0,0,5,0.8042,0.7885,0.90284,0.915848,0.48466000000000004,0.4606,0.57714,0.595988
long,256,1,5,5,0,0,5,11.07536,0.8394,41.86897999999999,50.043155999999996,0.51244,0.5192,0.59552,0.596464
long,256,2,5,5,0,0,5,0.78126,0.8176,0.8613999999999999,0.8677999999999999,0.64188,0.6764,0.74786,0.7480519999999999
long,256,4,5,5,0,0,5,0.8827400000000001,0.7957,1.18204,1.2310480000000001,0.53206,0.4589,0.7347,0.76526
long,256,8,5,5,0,0,5,0.79882,0.735,0.99348,1.011176,0.53494,0.4553,0.70484,0.725688
medium,64,1,5,5,0,0,5,11.19944,0.7818,42.64145999999999,51.00373199999999,0.63628,0.5798,0.86846,0.9229719999999999
medium,64,2,5,5,0,0,5,0.66996,0.7134,0.7644000000000001,0.76944,0.5037,0.5249,0.57504,0.577488
medium,64,4,5,5,0,0,5,0.8484999999999999,0.7763,1.00694,1.012668,0.5471199999999999,0.5692,0.6373800000000001,0.648356
medium,64,8,5,5,0,0,5,0.7611800000000001,0.7719,0.8878199999999999,0.907404,0.52534,0.5497,0.5834,0.5866
medium,128,1,5,5,0,0,5,11.123059999999999,0.7346,42.38353999999999,50.701187999999995,0.5404,0.514,0.67418,0.705476
medium,128,2,5,5,0,0,5,0.88372,0.9083,0.98278,0.985356,0.61278,0.6119,0.70614,0.711068
medium,128,4,5,5,0,0,5,0.68756,0.7037,0.7317199999999999,0.735224,0.4992,0.5032,0.5428200000000001,0.547764
medium,128,8,5,5,0,0,5,0.9226800000000001,0.656,1.8670399999999998,2.103088,0.4506,0.4328,0.49318,0.49375600000000003
medium,256,1,5,5,0,0,5,10.785,0.7856,40.87409999999999,48.87426,0.6018399999999999,0.5975,0.68724,0.7046479999999999
medium,256,2,5,5,0,0,5,0.70914,0.7128,0.77922,0.790564,0.50264,0.5043,0.6033000000000001,0.60338
medium,256,4,5,5,0,0,5,1.16498,1.1914,1.4269399999999999,1.437708,0.6087400000000001,0.5641,0.7678,0.7742800000000001
medium,256,8,5,5,0,0,5,0.71124,0.6864,0.85042,0.860244,0.52134,0.5174,0.6038,0.6082
short,64,1,5,5,0,0,5,0.75682,0.7556,0.9622199999999999,1.002924,0.63148,0.6083,0.83844,0.8831279999999999
short,64,2,5,5,0,0,5,0.60544,0.6153,0.68474,0.6974279999999999,0.50406,0.5241,0.56138,0.567796
short,64,4,5,5,0,0,5,0.6602399999999999,0.6532,0.7287399999999999,0.730468,0.5475000000000001,0.5611,0.6195200000000001,0.6228640000000001
short,64,8,5,5,0,0,5,0.69368,0.7193,0.84204,0.8535280000000001,0.56046,0.5716,0.6877599999999999,0.6949919999999999
short,128,1,5,5,0,0,5,11.19646,0.7446,42.79195999999999,51.179432,0.56276,0.5644,0.7048,0.71944
short,128,2,5,5,0,0,5,0.72626,0.6746,0.9319999999999999,0.93424,0.54656,0.5154,0.61354,0.613748
short,128,4,5,5,0,0,5,0.7154200000000001,0.7372,0.8452999999999999,0.86666,0.6122,0.5958,0.72956,0.7538320000000001
short,128,8,5,5,0,0,5,0.64168,0.6653,0.7258600000000001,0.736052,0.53786,0.5555,0.58062,0.581564
short,256,1,5,5,0,0,5,11.232000000000001,0.7746,42.595119999999994,50.923344,0.5773400000000001,0.6176,0.6988,0.70432
short,256,2,5,5,0,0,5,0.7246400000000001,0.6677,0.87968,0.908096,0.6300399999999999,0.598,0.72342,0.746284
short,256,4,5,5,0,0,5,0.7010799999999999,0.6828,0.8055599999999999,0.820152,0.59802,0.5726,0.66994,0.6876680000000001
short,256,8,5,5,0,0,5,0.6096,0.6262,0.70434,0.715828,0.49706,0.5297,0.58458,0.593476
