prompt_bucket,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
long,60,60,0,0,60,3.3905016666666663,0.82915,3.8451999999998563,52.091578999999996,0.554625,0.5764499999999999,0.745665,0.7582679999999999
medium,60,60,0,0,60,3.372205,0.7446999999999999,4.597709999999862,52.909217,0.5458316666666666,0.5461,0.714405,0.8417869999999995
short,60,60,0,0,60,2.4386099999999997,0.67505,0.9569549999999998,53.116469,0.5671116666666667,0.5724,0.7245449999999999,0.8150039999999995
