prefill_size_class,slo_regime,n,dominant_unique_eps_0.01,unique_winner_counts_eps_0.01,exact_unique_winner_counts,n_unique_eps_0.01,n_exact_ties_structural,mean_margin_structural,frac_margin_gt_0.01_structural,mean_anwg__adaptive_prefill_control,mean_anwg__chunked_prefill_large,mean_anwg__chunked_prefill_small,mean_anwg__decode_priority_chunked,mean_anwg__full_prefill
long,balanced,12,full_prefill,"{""full_prefill"": 2}","{""full_prefill"": 3}",2,9,0.00322293447293448,0.16666666666666666,0.7770588208088208,0.8207779489029489,0.7770588208088208,0.7770588208088208,0.8240008833758834
long,tbt_tight,12,,{},{},0,12,0.0,0.0,0.915340909090909,0.8956649831649832,0.915340909090909,0.915340909090909,0.896422558922559
long,ttft_tight,12,,{},{},0,12,0.0,0.0,0.5151630776630777,0.5189464470714471,0.5151630776630777,0.5151630776630777,0.5189464470714471
medium,balanced,12,,{},{},0,12,0.0,0.0,0.9480188254727728,0.9518021948811423,0.9480188254727728,0.9480188254727728,0.9518021948811423
medium,tbt_tight,12,,{},{},0,12,0.0,0.0,1.0,1.0,1.0,1.0,1.0
medium,ttft_tight,12,full_prefill,"{""full_prefill"": 3}","{""full_prefill"": 4}",3,8,0.004467836257309936,0.25,0.5228391717931191,0.5462126718310929,0.5228391717931191,0.5228391717931191,0.5506805080884029
mixed,balanced,12,,{},{},0,12,0.0,0.0,0.888038813038813,0.9117202242202243,0.888038813038813,0.888038813038813,0.9117202242202243
mixed,tbt_tight,12,,{},{},0,12,0.0,0.0,1.0,0.9981481481481481,1.0,1.0,0.9972222222222222
mixed,ttft_tight,12,,{},{},0,12,0.0,0.0,0.5329590548340548,0.5221693815443815,0.5329590548340548,0.5329590548340548,0.5221693815443815
short,balanced,12,,{},{},0,12,0.0,0.0,0.9491143116143116,0.9630908443408444,0.9491143116143116,0.9491143116143116,0.9630908443408444
short,tbt_tight,12,,{},{},0,12,0.0,0.0,1.0,1.0,1.0,1.0,1.0
short,ttft_tight,12,full_prefill,"{""full_prefill"": 1}","{""full_prefill"": 3}",1,9,0.0025102212602212542,0.08333333333333333,0.5283929033929033,0.5334133459133459,0.5283929033929033,0.5283929033929033,0.5359235671735672
