prefill_size_class,decode_occupancy,n,dominant_unique_eps_0.01,unique_winner_counts_eps_0.01,exact_unique_winner_counts,n_unique_eps_0.01,n_exact_ties_structural,mean_margin_structural,frac_margin_gt_0.01_structural,mean_anwg__adaptive_prefill_control,mean_anwg__chunked_prefill_large,mean_anwg__chunked_prefill_small,mean_anwg__decode_priority_chunked,mean_anwg__full_prefill
long,high,12,full_prefill,{},"{""full_prefill"": 1}",0,11,0.000694444444444442,0.0,0.8086489898989899,0.8099747474747475,0.8086489898989899,0.8086489898989899,0.8114267676767677
long,low,12,full_prefill,"{""full_prefill"": 1}","{""full_prefill"": 1}",1,11,0.0016025641025641062,0.08333333333333333,0.6394230769230769,0.664072039072039,0.6394230769230769,0.6394230769230769,0.6656746031746031
long,medium,12,full_prefill,"{""full_prefill"": 1}","{""full_prefill"": 1}",1,11,0.0009259259259259319,0.08333333333333333,0.7594907407407407,0.7613425925925926,0.7594907407407407,0.7594907407407407,0.7622685185185185
medium,high,12,full_prefill,{},"{""full_prefill"": 1}",0,11,0.0006666666666666673,0.0,0.8876969696969697,0.8933939393939394,0.8876969696969697,0.8876969696969697,0.8940606060606061
medium,low,12,full_prefill,"{""full_prefill"": 2}","{""full_prefill"": 2}",2,10,0.0029239766081871343,0.16666666666666666,0.7337092731829574,0.7474937343358395,0.7337092731829574,0.7337092731829574,0.7504177109440268
medium,medium,12,full_prefill,"{""full_prefill"": 1}","{""full_prefill"": 1}",1,11,0.0008771929824561339,0.08333333333333333,0.8494517543859649,0.8571271929824561,0.8494517543859649,0.8494517543859649,0.8580043859649122
mixed,high,12,,{},{},0,12,0.0,0.0,0.8791035353535354,0.8818813131313131,0.8791035353535354,0.8791035353535354,0.8818813131313131
mixed,low,12,,{},{},0,12,0.0,0.0,0.7052045177045178,0.7116147741147741,0.7052045177045178,0.7052045177045178,0.7116147741147741
mixed,medium,12,,{},{},0,12,0.0,0.0,0.8366898148148149,0.8385416666666666,0.8366898148148149,0.8366898148148149,0.8376157407407407
short,high,12,full_prefill,{},"{""full_prefill"": 1}",0,11,0.0005952380952380931,0.0,0.881547619047619,0.8859126984126984,0.881547619047619,0.881547619047619,0.8865079365079365
short,low,12,full_prefill,"{""full_prefill"": 1}","{""full_prefill"": 1}",1,11,0.001157407407407408,0.08333333333333333,0.75,0.7589921652421653,0.75,0.75,0.7601495726495726
short,medium,12,full_prefill,{},"{""full_prefill"": 1}",0,11,0.0007575757575757532,0.0,0.8459595959595959,0.8515993265993266,0.8459595959595959,0.8459595959595959,0.8523569023569023
