anwg_like_spread,best_policy,diverges,k,median_latency,window_idx
0.5,weighted_shortest_processing,True,0.9,0.052,137
0.0,vllm_faithful,False,1.0,0.052,137
0.0,vllm_faithful,False,1.1,0.052,137
0.0,vllm_faithful,False,1.3,0.052,137
0.0,vllm_faithful,False,1.5,0.052,137
0.0,vllm_faithful,False,2.0,0.052,137
0.0,vllm_faithful,False,3.0,0.052,137
0.0,vllm_faithful,False,5.0,0.052,137
0.0,vllm_faithful,False,10.0,0.052,137
0.4,vllm_faithful,True,0.5,0.115,138
0.2,vllm_faithful,True,0.7,0.115,138
0.2,vllm_faithful,True,0.9,0.115,138
0.0,vllm_faithful,False,1.0,0.115,138
0.0,vllm_faithful,False,1.1,0.115,138
0.0,vllm_faithful,False,1.3,0.115,138
0.0,vllm_faithful,False,1.5,0.115,138
0.0,vllm_faithful,False,2.0,0.115,138
0.0,vllm_faithful,False,3.0,0.115,138
0.0,vllm_faithful,False,5.0,0.115,138
0.0,vllm_faithful,False,10.0,0.115,138
0.5,vllm_faithful,True,0.5,0.012,139
0.75,weighted_shortest_processing,True,0.7,0.012,139
0.5,weighted_shortest_processing,True,0.9,0.012,139
0.0,vllm_faithful,False,1.0,0.012,139
0.25,vllm_faithful,True,1.1,0.012,139
0.25,vllm_faithful,True,1.3,0.012,139
0.0,vllm_faithful,False,1.5,0.012,139
0.0,vllm_faithful,False,2.0,0.012,139
0.0,vllm_faithful,False,3.0,0.012,139
0.0,vllm_faithful,False,5.0,0.012,139
0.0,vllm_faithful,False,10.0,0.012,139
0.333333,weighted_shortest_processing,True,0.5,0.09,14
0.333333,weighted_shortest_processing,True,0.7,0.09,14
0.333333,weighted_shortest_processing,True,0.9,0.09,14
0.0,vllm_faithful,False,1.0,0.09,14
0.0,vllm_faithful,False,1.1,0.09,14
0.0,vllm_faithful,False,1.3,0.09,14
0.333333,vllm_faithful,True,1.5,0.09,14
0.0,vllm_faithful,False,2.0,0.09,14
0.0,vllm_faithful,False,3.0,0.09,14
0.0,vllm_faithful,False,5.0,0.09,14
0.0,vllm_faithful,False,10.0,0.09,14
0.125,vllm_faithful,True,0.5,0.098,140
0.125,vllm_faithful,True,0.7,0.098,140
0.0,vllm_faithful,False,0.9,0.098,140
0.0,vllm_faithful,False,1.0,0.098,140
0.0,vllm_faithful,False,1.1,0.098,140
0.0,vllm_faithful,False,1.3,0.098,140
0.0,vllm_faithful,False,1.5,0.098,140
0.0,vllm_faithful,False,2.0,0.098,140
0.0,vllm_faithful,False,3.0,0.098,140
0.0,vllm_faithful,False,5.0,0.098,140
0.0,vllm_faithful,False,10.0,0.098,140
0.5,vllm_faithful,True,0.5,0.025,141
0.5,vllm_faithful,True,0.7,0.025,141
0.5,vllm_faithful,True,0.9,0.025,141
0.0,vllm_faithful,False,1.0,0.025,141
0.0,vllm_faithful,False,1.1,0.025,141
0.0,vllm_faithful,False,1.3,0.025,141
0.0,vllm_faithful,False,1.5,0.025,141
0.0,vllm_faithful,False,2.0,0.025,141
0.0,vllm_faithful,False,3.0,0.025,141
0.0,vllm_faithful,False,5.0,0.025,141
0.0,vllm_faithful,False,10.0,0.025,141
0.666667,weighted_shortest_processing,True,0.5,0.067,142
0.333333,weighted_shortest_processing,True,0.7,0.067,142
0.333333,weighted_shortest_processing,True,0.9,0.067,142
0.0,vllm_faithful,False,1.0,0.067,142
0.0,vllm_faithful,False,1.1,0.067,142
0.0,vllm_faithful,False,1.3,0.067,142
0.0,vllm_faithful,False,1.5,0.067,142
0.0,vllm_faithful,False,2.0,0.067,142
0.0,vllm_faithful,False,3.0,0.067,142
0.0,vllm_faithful,False,5.0,0.067,142
0.0,vllm_faithful,False,10.0,0.067,142
0.333333,vllm_faithful,True,0.5,0.04,145
0.666667,weighted_shortest_processing,True,0.7,0.04,145
0.666667,weighted_shortest_processing,True,0.9,0.04,145
0.333333,vllm_faithful,True,1.0,0.04,145
0.333333,vllm_faithful,True,1.1,0.04,145
0.0,vllm_faithful,False,1.3,0.04,145
0.0,vllm_faithful,False,1.5,0.04,145
0.0,vllm_faithful,False,2.0,0.04,145
0.0,vllm_faithful,False,3.0,0.04,145
0.0,vllm_faithful,False,5.0,0.04,145
0.0,vllm_faithful,False,10.0,0.04,145
0.666667,weighted_shortest_processing,True,0.5,0.052,146
0.666667,weighted_shortest_processing,True,0.7,0.052,146
0.333333,weighted_shortest_processing,True,0.9,0.052,146
0.0,vllm_faithful,False,1.0,0.052,146
0.0,vllm_faithful,False,1.1,0.052,146
0.0,vllm_faithful,False,1.3,0.052,146
0.0,vllm_faithful,False,1.5,0.052,146
0.0,vllm_faithful,False,2.0,0.052,146
0.0,vllm_faithful,False,3.0,0.052,146
0.0,vllm_faithful,False,5.0,0.052,146
0.0,vllm_faithful,False,10.0,0.052,146
0.090909,vllm_faithful,True,0.5,0.102,148
0.0,vllm_faithful,False,0.7,0.102,148
0.0,vllm_faithful,False,0.9,0.102,148
0.0,vllm_faithful,False,1.0,0.102,148
0.0,vllm_faithful,False,1.1,0.102,148
0.0,vllm_faithful,False,1.3,0.102,148
0.0,vllm_faithful,False,1.5,0.102,148
0.0,vllm_faithful,False,2.0,0.102,148
0.0,vllm_faithful,False,3.0,0.102,148
0.0,vllm_faithful,False,5.0,0.102,148
0.0,vllm_faithful,False,10.0,0.102,148
0.5,weighted_shortest_processing,True,0.5,0.005,149
0.5,weighted_shortest_processing,True,0.7,0.005,149
0.5,weighted_shortest_processing,True,0.9,0.005,149
0.5,vllm_faithful,True,1.0,0.005,149
0.5,vllm_faithful,True,1.1,0.005,149
0.0,vllm_faithful,False,1.3,0.005,149
0.0,vllm_faithful,False,1.5,0.005,149
0.0,vllm_faithful,False,2.0,0.005,149
0.0,vllm_faithful,False,3.0,0.005,149
0.0,vllm_faithful,False,5.0,0.005,149
0.0,vllm_faithful,False,10.0,0.005,149
0.333333,vllm_faithful,True,0.5,0.016,15
0.333333,vllm_faithful,True,0.7,0.016,15
0.333333,vllm_faithful,True,0.9,0.016,15
0.333333,vllm_faithful,True,1.0,0.016,15
0.333333,vllm_faithful,True,1.1,0.016,15
0.0,vllm_faithful,False,1.3,0.016,15
0.0,vllm_faithful,False,1.5,0.016,15
0.0,vllm_faithful,False,2.0,0.016,15
0.0,vllm_faithful,False,3.0,0.016,15
0.0,vllm_faithful,False,5.0,0.016,15
0.0,vllm_faithful,False,10.0,0.016,15
0.5,weighted_shortest_processing,True,0.5,0.041,150
0.25,weighted_shortest_processing,True,0.7,0.041,150
0.5,weighted_shortest_processing,True,0.9,0.041,150
0.25,vllm_faithful,True,1.0,0.041,150
0.25,vllm_faithful,True,1.1,0.041,150
0.25,vllm_faithful,True,1.3,0.041,150
0.0,vllm_faithful,False,1.5,0.041,150
0.0,vllm_faithful,False,2.0,0.041,150
0.0,vllm_faithful,False,3.0,0.041,150
0.0,vllm_faithful,False,5.0,0.041,150
0.0,vllm_faithful,False,10.0,0.041,150
0.125,weighted_shortest_processing,True,0.5,0.011,153
0.25,weighted_shortest_processing,True,0.7,0.011,153
0.625,weighted_shortest_processing,True,0.9,0.011,153
0.5,weighted_shortest_processing,True,1.0,0.011,153
0.0,vllm_faithful,False,1.1,0.011,153
0.0,vllm_faithful,False,1.3,0.011,153
0.0,vllm_faithful,False,1.5,0.011,153
0.0,vllm_faithful,False,2.0,0.011,153
0.0,vllm_faithful,False,3.0,0.011,153
0.0,vllm_faithful,False,5.0,0.011,153
0.0,vllm_faithful,False,10.0,0.011,153
0.333333,vllm_faithful,True,0.5,0.066,154
0.333333,vllm_faithful,True,0.7,0.066,154
0.0,vllm_faithful,False,0.9,0.066,154
0.333333,weighted_shortest_processing,True,1.0,0.066,154
0.0,vllm_faithful,False,1.1,0.066,154
0.0,vllm_faithful,False,1.3,0.066,154
0.0,vllm_faithful,False,1.5,0.066,154
0.0,vllm_faithful,False,2.0,0.066,154
0.0,vllm_faithful,False,3.0,0.066,154
0.0,vllm_faithful,False,5.0,0.066,154
0.0,vllm_faithful,False,10.0,0.066,154
0.333333,vllm_faithful,True,0.5,0.01,155
0.333333,weighted_shortest_processing,True,0.7,0.01,155
0.333333,weighted_shortest_processing,True,0.9,0.01,155
0.0,vllm_faithful,False,1.0,0.01,155
0.0,vllm_faithful,False,1.1,0.01,155
0.0,vllm_faithful,False,1.3,0.01,155
0.0,vllm_faithful,False,1.5,0.01,155
0.333333,vllm_faithful,True,2.0,0.01,155
0.0,vllm_faithful,False,3.0,0.01,155
0.0,vllm_faithful,False,5.0,0.01,155
0.0,vllm_faithful,False,10.0,0.01,155
0.333333,weighted_shortest_processing,True,0.5,0.05,156
0.666667,weighted_shortest_processing,True,0.7,0.05,156
0.333333,weighted_shortest_processing,True,0.9,0.05,156
0.333333,vllm_faithful,True,1.0,0.05,156
0.333333,vllm_faithful,True,1.1,0.05,156
0.0,vllm_faithful,False,1.3,0.05,156
0.0,vllm_faithful,False,1.5,0.05,156
0.0,vllm_faithful,False,2.0,0.05,156
0.0,vllm_faithful,False,3.0,0.05,156
0.0,vllm_faithful,False,5.0,0.05,156
0.0,vllm_faithful,False,10.0,0.05,156
0.333333,vllm_faithful,True,0.5,0.005,157
0.333333,vllm_faithful,True,0.7,0.005,157
0.333333,vllm_faithful,True,0.9,0.005,157
0.666667,vllm_faithful,True,1.0,0.005,157
0.666667,vllm_faithful,True,1.1,0.005,157
0.666667,vllm_faithful,True,1.3,0.005,157
0.333333,vllm_faithful,True,1.5,0.005,157
0.0,vllm_faithful,False,2.0,0.005,157
0.0,vllm_faithful,False,3.0,0.005,157
0.0,vllm_faithful,False,5.0,0.005,157
0.0,vllm_faithful,False,10.0,0.005,157
0.0,vllm_faithful,False,0.5,0.023,158
0.125,scorpio_style_slo_guard,True,0.7,0.023,158
0.0,vllm_faithful,False,0.9,0.023,158
0.5,vllm_faithful,True,1.0,0.023,158
0.0,vllm_faithful,False,1.1,0.023,158
0.0,vllm_faithful,False,1.3,0.023,158
0.0,vllm_faithful,False,1.5,0.023,158
0.0,vllm_faithful,False,2.0,0.023,158
0.0,vllm_faithful,False,3.0,0.023,158
0.0,vllm_faithful,False,5.0,0.023,158
0.0,vllm_faithful,False,10.0,0.023,158
0.5,weighted_shortest_processing,True,0.5,0.055,16
0.5,weighted_shortest_processing,True,0.7,0.055,16
0.0,vllm_faithful,False,0.9,0.055,16
0.0,vllm_faithful,False,1.0,0.055,16
0.0,vllm_faithful,False,1.1,0.055,16
0.0,vllm_faithful,False,1.3,0.055,16
0.0,vllm_faithful,False,1.5,0.055,16
0.0,vllm_faithful,False,2.0,0.055,16
0.0,vllm_faithful,False,3.0,0.055,16
0.0,vllm_faithful,False,5.0,0.055,16
0.0,vllm_faithful,False,10.0,0.055,16
0.333333,vllm_faithful,True,0.5,0.035,160
0.333333,vllm_faithful,True,0.7,0.035,160
0.333333,vllm_faithful,True,0.9,0.035,160
0.333333,vllm_faithful,True,1.0,0.035,160
0.333333,vllm_faithful,True,1.1,0.035,160
0.0,vllm_faithful,False,1.3,0.035,160
0.0,vllm_faithful,False,1.5,0.035,160
0.0,vllm_faithful,False,2.0,0.035,160
0.0,vllm_faithful,False,3.0,0.035,160
0.0,vllm_faithful,False,5.0,0.035,160
0.0,vllm_faithful,False,10.0,0.035,160
0.142857,weighted_shortest_processing,True,0.5,0.136,161
0.142857,weighted_shortest_processing,True,0.7,0.136,161
0.142857,weighted_shortest_processing,True,0.9,0.136,161
0.0,vllm_faithful,False,1.0,0.136,161
0.0,vllm_faithful,False,1.1,0.136,161
0.0,vllm_faithful,False,1.3,0.136,161
0.0,vllm_faithful,False,1.5,0.136,161
0.0,vllm_faithful,False,2.0,0.136,161
0.0,vllm_faithful,False,3.0,0.136,161
0.0,vllm_faithful,False,5.0,0.136,161
0.0,vllm_faithful,False,10.0,0.136,161
0.875,weighted_shortest_processing,True,0.5,0.021,163
0.875,weighted_shortest_processing,True,0.7,0.021,163
0.75,weighted_shortest_processing,True,0.9,0.021,163
