canonical_scenario_id,source_dataset,anwg__full_prefill,slo__full_prefill,ttft_p95__full_prefill,tput__full_prefill,anwg__chunked_prefill_small,slo__chunked_prefill_small,ttft_p95__chunked_prefill_small,tput__chunked_prefill_small,anwg__estimated_service_time_first,slo__estimated_service_time_first,ttft_p95__estimated_service_time_first,tput__estimated_service_time_first,anwg__weighted_fair_share,slo__weighted_fair_share,ttft_p95__weighted_fair_share,tput__weighted_fair_share,anwg__least_laxity_first,slo__least_laxity_first,ttft_p95__least_laxity_first,tput__least_laxity_first,anwg__kv_constrained_online,slo__kv_constrained_online,ttft_p95__kv_constrained_online,tput__kv_constrained_online,anwg__official_vtc_joint_token_budget_remap,anwg__vllm_style_continuous_batching,slo__official_vtc_joint_token_budget_remap,slo__vllm_style_continuous_batching,ttft_p95__official_vtc_joint_token_budget_remap,ttft_p95__vllm_style_continuous_batching,tput__official_vtc_joint_token_budget_remap,tput__vllm_style_continuous_batching
PUBLIC_TRACE::azure_2023_code::w0::augmented,azure_2023_code,1.0,1.0,0.066879,15.414258,1.0,1.0,0.117667,15.33272,1.0,1.0,0.066879,15.414258,1.0,1.0,0.066879,15.414258,1.0,1.0,0.066879,15.414258,1.0,1.0,0.066879,15.414258,1.0,0.0,1.0,1.0,0.066879,,15.414258,
PUBLIC_TRACE::azure_2023_code::w10::augmented,azure_2023_code,1.0,1.0,0.416045,200.0,1.0,1.0,0.428089,190.47619,1.0,1.0,0.444752,200.0,1.0,1.0,0.444752,200.0,1.0,1.0,0.444752,200.0,1.0,1.0,0.444752,200.0,1.0,0.005,1.0,1.0,0.416045,0.002,200.0,0.019803
PUBLIC_TRACE::azure_2023_code::w12::augmented,azure_2023_code,1.0,1.0,0.082557,87.336245,1.0,1.0,0.118457,85.653105,1.0,1.0,0.082557,87.336245,1.0,1.0,0.082557,87.336245,1.0,1.0,0.082557,87.336245,1.0,1.0,0.082557,87.336245,1.0,0.01,1.0,1.0,0.082557,0.005452,87.336245,0.038305
PUBLIC_TRACE::azure_2023_code::w14::augmented,azure_2023_code,1.0,1.0,0.11857,18.977133,1.0,1.0,0.137654,18.932223,1.0,1.0,0.11857,18.977133,1.0,1.0,0.11857,18.977133,1.0,1.0,0.11857,18.977133,1.0,1.0,0.11857,18.977133,1.0,0.04,1.0,1.0,0.11857,0.006805,18.977133,0.132586
PUBLIC_TRACE::azure_2023_code::w16::augmented,azure_2023_code,1.0,1.0,0.048453,60.771802,1.0,1.0,0.10486,59.934073,1.0,1.0,0.048453,60.771802,1.0,1.0,0.048453,60.771802,1.0,1.0,0.048453,60.771802,1.0,1.0,0.048453,60.771802,1.0,0.01,1.0,1.0,0.048453,0.004209,60.771802,0.037578
PUBLIC_TRACE::azure_2023_code::w18::augmented,azure_2023_code,1.0,1.0,0.107844,34.596091,1.0,1.0,0.139284,34.423408,1.0,1.0,0.107844,34.596091,1.0,1.0,0.107844,34.596091,1.0,1.0,0.107844,34.596091,1.0,1.0,0.107844,34.596091,1.0,0.005,1.0,1.0,0.107844,0.005,34.596091,0.017963
PUBLIC_TRACE::azure_2023_code::w20::augmented,azure_2023_code,1.0,1.0,0.10392,84.245998,1.0,1.0,0.12797,82.91874,1.0,1.0,0.10392,84.245998,1.0,1.0,0.10392,84.245998,1.0,1.0,0.10392,84.245998,1.0,1.0,0.10392,84.245998,1.0,0.0,1.0,1.0,0.10392,,84.245998,
PUBLIC_TRACE::azure_2023_code::w22::augmented,azure_2023_code,1.0,1.0,0.263064,133.600534,1.0,1.0,0.266548,132.100396,1.0,1.0,0.264554,133.600534,1.0,1.0,0.264554,133.600534,1.0,1.0,0.264554,133.600534,1.0,1.0,0.26557,133.600534,1.0,0.04,1.0,1.0,0.263064,0.009398,133.600534,0.155788
PUBLIC_TRACE::azure_2023_code::w24::augmented,azure_2023_code,1.0,1.0,0.080946,22.126341,1.0,1.0,0.118962,22.062879,1.0,1.0,0.080946,22.126341,1.0,1.0,0.080946,22.126341,1.0,1.0,0.080946,22.126341,1.0,1.0,0.080946,22.126341,1.0,0.03,1.0,1.0,0.080946,0.00622,22.126341,0.101904
PUBLIC_TRACE::azure_2023_code::w26::augmented,azure_2023_code,1.0,1.0,0.052017,71.275837,1.0,1.0,0.117964,70.871722,1.0,1.0,0.052017,71.275837,1.0,1.0,0.052017,71.275837,1.0,1.0,0.052017,71.275837,1.0,1.0,0.052017,71.275837,1.0,0.005,1.0,1.0,0.052017,0.003,71.275837,0.019023
PUBLIC_TRACE::azure_2023_code::w28::augmented,azure_2023_code,1.0,1.0,0.022616,76.306753,1.0,1.0,0.118168,76.074553,1.0,1.0,0.022616,76.306753,1.0,1.0,0.022616,76.306753,1.0,1.0,0.022616,76.306753,1.0,1.0,0.022616,76.306753,1.0,0.0,1.0,1.0,0.022616,,76.306753,
PUBLIC_TRACE::azure_2023_code::w2::augmented,azure_2023_code,1.0,1.0,0.239099,85.470085,1.0,1.0,0.253897,84.423808,1.0,1.0,0.244442,85.470085,1.0,1.0,0.244442,85.470085,1.0,1.0,0.244442,85.470085,1.0,1.0,0.246025,85.470085,1.0,0.025,1.0,1.0,0.239099,0.004354,85.470085,0.095637
PUBLIC_TRACE::azure_2023_code::w30::augmented,azure_2023_code,1.0,1.0,0.097431,37.376191,1.0,1.0,0.122178,36.907178,1.0,1.0,0.097431,37.376191,1.0,1.0,0.097431,37.376191,1.0,1.0,0.097431,37.376191,1.0,1.0,0.097431,37.376191,1.0,0.0,1.0,1.0,0.097431,,37.376191,
PUBLIC_TRACE::azure_2023_code::w32::augmented,azure_2023_code,1.0,1.0,0.023154,52.151239,1.0,1.0,0.065969,51.546392,1.0,1.0,0.023154,52.151239,1.0,1.0,0.023154,52.151239,1.0,1.0,0.023154,52.151239,1.0,1.0,0.023154,52.151239,1.0,0.005,1.0,1.0,0.023154,0.006,52.151239,0.018682
PUBLIC_TRACE::azure_2023_code::w34::augmented,azure_2023_code,1.0,1.0,0.017639,37.126415,1.0,1.0,0.097039,36.975411,1.0,1.0,0.017639,37.126415,1.0,1.0,0.017639,37.126415,1.0,1.0,0.017639,37.126415,1.0,1.0,0.017639,37.126415,1.0,0.01,1.0,1.0,0.017639,0.004844,37.126415,0.036202
PUBLIC_TRACE::azure_2023_code::w36::augmented,azure_2023_code,1.0,1.0,0.14403,37.750094,1.0,1.0,0.168813,37.439161,1.0,1.0,0.14403,37.750094,1.0,1.0,0.14403,37.750094,1.0,1.0,0.14403,37.750094,1.0,1.0,0.14403,37.750094,1.0,0.015,1.0,1.0,0.14403,0.007382,37.750094,0.054318
PUBLIC_TRACE::azure_2023_code::w38::augmented,azure_2023_code,1.0,1.0,0.047418,55.7569,1.0,1.0,0.1008,55.27916,1.0,1.0,0.047418,55.7569,1.0,1.0,0.047418,55.7569,1.0,1.0,0.047418,55.7569,1.0,1.0,0.047418,55.7569,1.0,0.04,1.0,1.0,0.047418,0.006608,55.7569,0.149852
PUBLIC_TRACE::azure_2023_code::w4::augmented,azure_2023_code,1.0,1.0,0.021043,14.540167,1.0,1.0,0.110757,14.511682,1.0,1.0,0.021043,14.540167,1.0,1.0,0.021043,14.540167,1.0,1.0,0.021043,14.540167,1.0,1.0,0.021043,14.540167,1.0,0.035,1.0,1.0,0.021043,0.005893,14.540167,0.109909
PUBLIC_TRACE::azure_2023_code::w6::augmented,azure_2023_code,1.0,1.0,0.28521,221.72949,1.0,1.0,0.304116,216.216216,1.0,1.0,0.264108,221.72949,1.0,1.0,0.264108,221.72949,1.0,1.0,0.264108,221.72949,1.0,1.0,0.259022,221.72949,1.0,0.02,1.0,1.0,0.28521,0.009864,221.72949,0.079062
PUBLIC_TRACE::azure_2023_code::w8::augmented,azure_2023_code,1.0,1.0,0.045495,82.236842,1.0,1.0,0.08679,82.440231,1.0,1.0,0.045495,82.236842,1.0,1.0,0.045495,82.236842,1.0,1.0,0.045495,82.236842,1.0,1.0,0.045495,82.236842,1.0,0.015,1.0,1.0,0.045495,0.00558,82.236842,0.05887
PUBLIC_TRACE::azure_2023_conv::w0::augmented,azure_2023_conv,1.0,1.0,0.028356,47.058824,1.0,1.0,0.065427,46.904315,1.0,1.0,0.025754,47.058824,1.0,1.0,0.025754,47.058824,1.0,1.0,0.025754,47.058824,1.0,1.0,0.02599,47.058824,1.0,0.115,1.0,1.0,0.028356,0.004929,47.058824,0.427287
PUBLIC_TRACE::azure_2023_conv::w12::augmented,azure_2023_conv,1.0,1.0,0.010918,65.57377,1.0,1.0,0.065873,65.252855,1.0,1.0,0.010918,65.57377,1.0,1.0,0.010918,65.57377,1.0,1.0,0.010918,65.57377,1.0,1.0,0.010918,65.57377,1.0,0.04,1.0,1.0,0.010918,0.006364,65.57377,0.152561
